FE_H_pred,FE_H_err,LOGG_actual,FE_H_actual
-0.5748586587535083,0.028790677536723354,2.3777626,-0.53696
0.2516892557067888,0.08497031814510847,4.202038,-0.0033703
-0.36589596446087996,0.013337407072733355,2.3918395,-0.35353
0.08044638234577056,0.014724524113695828,2.2089725,0.043457
-0.37943338374973196,0.030522669023384293,2.8295083,-0.45483
-0.009539250680679928,0.02279723784609356,1.6202891,0.034094
-0.13835507211403644,0.017467962222233586,2.5597982,-0.12989
-0.3191428178294742,0.01424083982006433,1.9735141,-0.35209
-0.07931149160231048,0.029224186462718623,1.0963631,-0.06174
-0.07400074771818774,0.018216955956434716,3.2301302,-0.034172
0.04444337860073519,0.015783589226152434,2.205642,0.047774
0.26963726972339497,0.022951346145531303,2.1838245,0.28254
-0.21362966536920802,0.13482849175058745,4.4584126,-0.039572
-0.025968490428469354,0.05700380695615392,4.2172885,-0.051958
-0.3256648600109651,0.015532383814820878,1.7938299,-0.34015
-0.23583451900351055,0.01897109662314502,4.611797,-0.15312
-0.6941657059276146,0.03265090474564657,1.3933177,-0.80998
0.36903532694625385,0.05907424163098626,4.489185,-0.058975
-0.06952596242603967,0.010654431775225086,2.5478327,-0.080472
-0.18445489545209423,0.015215673546493785,4.572502,-0.10003
-0.31540611700077115,0.06287339490422565,0.6589743,-0.28992
-0.6210111008875487,0.04071948188121586,2.41229,-0.74213
0.02550758165070674,0.023158190970745104,4.5073457,0.097512
-0.12697962990620823,0.07619474791423543,4.630704,-0.061556
-0.09563199611300235,0.009588617534799494,2.4400775,-0.12656
0.2224127758104253,0.03833336439807073,1.5083435,0.36652
-0.44949504303305954,0.0313782285556736,0.93761724,-0.37627
0.18775014502705561,0.026590722964920675,3.5216165,0.32525
0.009380774758128901,0.03921550731768856,4.3721724,0.073374
-0.90731803967192,0.09156962531967541,0.8509942,-0.78423
0.00618489463229055,0.1160162126186124,4.1237845,-0.21832
0.00011424988375227652,0.015469228202337221,3.298251,0.033344
