time,loss,mse_loss,val_loss,val_mse_loss,lr
1.149670124053955,-1.524,0.034,0.357,0.516,9.6372e-05
1.1500496864318848,-1.451,0.045,0.403,0.523,9.6254e-05
1.150709629058838,-1.538,0.023,0.334,0.499,9.6134e-05
1.1531939506530762,-1.486,0.032,0.212,0.460,9.6012e-05
1.149543285369873,-1.422,0.044,0.053,0.414,9.5888e-05
1.1498503684997559,-1.535,0.025,-0.005,0.394,9.5762e-05
1.1582162380218506,-1.566,0.050,0.047,0.397,9.5635e-05
1.149587869644165,-1.432,0.049,0.003,0.385,9.5505e-05
1.3112175464630127,-1.348,0.052,-0.075,0.366,9.5374e-05
1.1495370864868164,-1.485,0.022,-0.009,0.375,9.5241e-05
1.1502509117126465,-1.527,0.028,0.098,0.394,9.5107e-05
1.1532130241394043,-1.554,0.036,0.190,0.411,9.4970e-05
1.152951717376709,-1.520,0.029,0.210,0.416,9.4832e-05
1.1533794403076172,-1.589,0.020,0.262,0.429,9.4692e-05
1.1539344787597656,-1.536,0.037,0.220,0.422,9.4550e-05
1.1515493392944336,-1.536,0.037,0.088,0.397,9.4407e-05
1.1544854640960693,-1.531,0.025,0.048,0.392,9.4262e-05
1.1530442237854004,-1.533,0.031,0.055,0.391,9.4115e-05
1.1534078121185303,-1.597,0.028,0.090,0.397,9.3966e-05
1.1532566547393799,-1.401,0.049,0.187,0.419,9.3815e-05
1.15242600440979,-1.586,0.032,0.223,0.432,9.3663e-05
1.1503162384033203,-1.700,0.021,0.359,0.467,9.3509e-05
1.1506540775299072,-1.578,0.023,0.415,0.485,9.3354e-05
1.151738166809082,-1.584,0.017,0.588,0.523,9.3196e-05
1.151893138885498,-1.605,0.037,0.665,0.540,9.3037e-05
1.1506268978118896,-1.585,0.039,0.460,0.497,9.2876e-05
1.1501281261444092,-1.695,0.017,0.320,0.467,9.2714e-05
1.1523981094360352,-1.581,0.027,0.301,0.456,9.2550e-05
1.5313467979431152,-1.493,0.045,0.405,0.472,9.2384e-05
1.1503281593322754,-1.562,0.021,0.476,0.479,9.2216e-05
1.1513493061065674,-1.647,0.036,0.535,0.484,9.2047e-05
1.1628613471984863,-1.628,0.018,0.549,0.485,9.1876e-05
1.1512982845306396,-1.646,0.024,0.407,0.461,9.1704e-05
1.1515941619873047,-1.634,0.052,0.284,0.438,9.1530e-05
1.1526002883911133,-1.614,0.034,0.202,0.421,9.1354e-05
1.1507296562194824,-1.613,0.020,0.233,0.422,9.1177e-05
1.1498310565948486,-1.617,0.032,0.303,0.426,9.0998e-05
1.1523244380950928,-1.513,0.022,0.288,0.424,9.0817e-05
1.1503121852874756,-1.602,0.022,0.257,0.424,9.0635e-05
1.1509301662445068,-1.593,0.030,0.317,0.433,9.0451e-05
1.149841070175171,-1.671,0.016,0.397,0.442,9.0265e-05
1.1510956287384033,-1.645,0.024,0.489,0.451,9.0078e-05
1.1498291492462158,-1.512,0.030,0.518,0.450,8.9890e-05
1.150749921798706,-1.660,0.035,0.377,0.423,8.9700e-05
1.1579866409301758,-1.696,0.028,0.258,0.402,8.9508e-05
1.1531000137329102,-1.627,0.015,0.256,0.403,8.9314e-05
1.1533982753753662,-1.592,0.032,0.360,0.420,8.9120e-05
1.150585412979126,-1.604,0.033,0.601,0.460,8.8923e-05
1.2795677185058594,-1.532,0.038,0.538,0.461,8.8725e-05
1.149940013885498,-1.484,0.029,0.261,0.425,8.8526e-05
1.1505937576293945,-1.595,0.024,0.206,0.423,8.8325e-05
1.15091872215271,-1.407,0.036,0.185,0.422,8.8122e-05
1.1502931118011475,-1.554,0.027,0.291,0.442,8.7918e-05
1.1496200561523438,-1.629,0.016,0.454,0.467,8.7713e-05
1.15138578414917,-1.626,0.022,0.499,0.475,8.7506e-05
1.151442289352417,-1.609,0.024,0.376,0.452,8.7297e-05
1.1513078212738037,-1.664,0.038,0.302,0.433,8.7087e-05
1.1551132202148438,-1.631,0.027,0.320,0.435,8.6876e-05
1.152371883392334,-1.654,0.019,0.469,0.462,8.6663e-05
1.1502304077148438,-1.586,0.027,0.694,0.498,8.6448e-05
1.152557373046875,-1.664,0.019,0.728,0.497,8.6233e-05
1.1507163047790527,-1.690,0.025,0.503,0.457,8.6015e-05
1.1509544849395752,-1.758,0.015,0.326,0.422,8.5797e-05
1.1503541469573975,-1.680,0.023,0.286,0.406,8.5577e-05
1.1508870124816895,-1.764,0.011,0.348,0.412,8.5355e-05
1.1507606506347656,-1.644,0.020,0.402,0.418,8.5133e-05
1.1517152786254883,-1.760,0.030,0.469,0.427,8.4908e-05
1.150984287261963,-1.737,0.020,0.495,0.430,8.4683e-05
1.9057838916778564,-1.757,0.016,0.576,0.447,8.4456e-05
1.1536836624145508,-1.742,0.019,0.603,0.455,8.4227e-05
1.1525235176086426,-1.742,0.016,0.631,0.459,8.3998e-05
1.1501011848449707,-1.589,0.025,0.647,0.455,8.3767e-05
1.1512305736541748,-1.666,0.015,0.655,0.450,8.3534e-05
1.1511776447296143,-1.721,0.014,0.594,0.437,8.3301e-05
1.1502232551574707,-1.652,0.025,0.512,0.419,8.3066e-05
1.1519191265106201,-1.598,0.018,0.447,0.407,8.2829e-05
1.1520702838897705,-1.522,0.026,0.483,0.421,8.2592e-05
1.1509029865264893,-1.722,0.019,0.590,0.444,8.2353e-05
